customerid,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,age,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,referredby,statut_def,good_bad_flag
8a1088a0484472eb01484669e3ce4e0b,Savings,3.3516667999999998,6.6570188999999997,GT Bank,Permanent,33,301999397,2,2017-07-27,2017-07-27,10000,11500,15,,0,Bad
8a1a1e7e4f707f8b014f797718316cad,Other,3.3952298000000001,6.5921915000000002,Standard Chartered,Permanent,43,301997672,5,2017-07-26,2017-07-26,30000,39000,60,,0,Good
8a1a32fc49b632520149c3b8fdf85139,Savings,3.3063883000000001,6.6518433000000003,GT Bank,Permanent,43,301976551,8,2017-07-13,2017-07-13,20000,24500,30,,1,Good
8a1eb5ba49a682300149c3c068b806c7,Savings,3.4266977000000001,6.4230476999999997,First Bank,Permanent,44,301975382,9,2017-07-13,2017-07-12,30000,39000,60,,1,Good
8a1edbf14734127f0147356fdb1b1eb2,,,,,,,301979352,3,2017-07-15,2017-07-15,10000,11500,15,,1,Good
8a26bd845089f1d7015090b1d6f53bad,Other,3.4866076000000001,6.6220800999999998,Access Bank,Permanent,35,301997559,10,2017-07-26,2017-07-26,20000,24500,30,,0,Good
8a2a81a74ce8c05d014cfb32a0da1049,Other,3.4320102000000001,6.4330553000000004,Diamond Bank,Permanent,50,301994762,12,2017-07-25,2017-07-25,30000,34500,30,,0,Good
8a2ac4745091002b0150a144bcbe58b7,,,,,,,302003167,8,2017-07-30,2017-07-30,40000,48000,60,,1,Good
8a2ad9ce4c453e06014c4b3175e52407,Current,3.3393837999999998,6.6364862000000002,EcoBank,Permanent,48,301979367,3,2017-07-15,2017-07-15,20000,24500,30,,1,Good
8a33a06e4a5075c2014a5295aa0c2224,Savings,3.2327404,6.6022521999999997,GT Bank,Permanent,45,301984436,9,2017-07-18,2017-07-18,20000,24500,30,,0,Bad
8a3442825124396701513514dad40fa7,Other,3.3756438000000002,6.5555190000000003,First Bank,Permanent,36,301972246,10,2017-07-10,2017-07-10,30000,34500,30,,1,Good
8a390a2150ad97330150aebdd8ef7456,,,,,,,301979459,9,2017-07-15,2017-07-15,30000,33000,30,,0,Good
8a399f284741b63b0147496a04db1eb4,,,,,,,301999950,4,2017-07-28,2017-07-28,10000,13000,30,,0,Bad
8a5cfa8345d40fb80145dc328532397a,,,,,,,301974306,6,2017-07-12,2017-07-12,10000,11000,30,,,Good
8a688b474ed5e088014ed8b6c50c5f51,,,,,,,301966919,5,2017-07-06,2017-07-06,30000,34500,30,8a858f875afc0db0015afee056815c8a,1,Good
8a6a96044539adf801453c576ed213c4,Savings,3.3816093,6.4941240000000002,Stanbic IBTC,Self-Employed,36,301988019,16,2017-07-20,2017-07-20,20000,21000,15,,1,Good
8a6b87fe4d56512d014d57af446e7ad0,Current,3.4195783,6.4342448000000001,Diamond Bank,Permanent,50,301985761,2,2017-07-19,2017-07-19,10000,11500,15,8a858e495cef1ef1015cef8066103757,1,Good
8a76e7d443e6e97c0143ed0a13cb4f61,Savings,3.3233638000000001,6.6064369999999997,GT Bank,Permanent,48,301999706,4,2017-07-28,2017-07-27,30000,39000,60,,,Bad
8a76e7d443e6e97c0143ed0a1f4d5331,Other,3.4062008000000001,6.4437582999999998,Access Bank,Permanent,44,301975908,6,2017-07-13,2017-07-13,10000,11500,30,,1,Good
8a76e7d443e6e97c0143ed0a33375981,Savings,3.5747841,6.8823052000000002,First Bank,Permanent,38,302002146,3,2017-07-29,2017-07-29,30000,39000,60,,1,Good
8a81890b51d31db90151d5fd989c1dbd,Savings,3.3256160000000001,6.6531878999999998,Sterling Bank,Permanent,38,301967361,2,2017-07-07,2017-07-07,10000,13000,30,,0,Bad
8a81894c529babae0152a10bafeb6895,Other,3.3340065999999999,6.5404736999999997,First Bank,Permanent,39,301998111,6,2017-07-27,2017-07-27,40000,48000,60,,0,Good
8a8189a552638e13015264cf62312966,Savings,7.1213005999999996,4.7956775,EcoBank,Permanent,44,301986005,2,2017-07-19,2017-07-19,10000,11500,15,,1,Good
8a8189d152443f820152443f89500001,Other,3.3137108999999998,6.6492708,GT Bank,Self-Employed,34,301959651,13,2017-07-02,2017-07-02,20000,24500,30,,0,Good
8a85880353acff880153b23e3c742a08,Other,3.3607366999999999,6.6755082999999997,GT Bank,Permanent,39,301965489,12,2017-07-05,2017-07-05,40000,44000,30,,1,Good
8a85880353acff880153b3c9f0d641b0,,,,,,,301999806,16,2017-07-28,2017-07-28,40000,44000,30,,1,Good
8a85880353acff880153b4d53d6b45db,Other,6.1124383,4.9747954999999999,GT Bank,Retired,31,301960988,13,2017-07-03,2017-07-03,25000,27500,30,,1,Good
8a85880353acff880153b4d9bf104630,,,,,,,301984590,15,2017-07-18,2017-07-18,40000,48000,60,,0,Good
8a85881053bc33670153c0ff6d6a38b9,,,,,,,301999933,11,2017-07-28,2017-07-28,40000,44000,30,,0,Good
8a85881053bc33670153c1f814696fb8,Savings,3.8788125,7.3877600000000001,GT Bank,Permanent,52,301995201,3,2017-07-25,2017-07-25,20000,24500,30,,0,Bad
8a85881053bc33670153c5ffe58162b8,Savings,3.2130683000000002,6.6053782999999999,Skye Bank,Self-Employed,43,301965622,3,2017-07-05,2017-07-05,10000,13000,30,,1,Good
8a85881053bc33670153c65bdb937097,Savings,3.4179770999999999,6.4411578,UBA,Permanent,39,301987712,10,2017-07-20,2017-07-20,10000,10500,15,,0,Good
8a85881053bc33670153c762675d3e71,Savings,3.17624,6.4613015999999996,GT Bank,Self-Employed,44,301992942,7,2017-07-24,2017-07-24,30000,34500,30,,1,Good
8a85881053bc33670153c7a4d2685aa0,Savings,3.2377796999999999,6.5917535000000003,GT Bank,Self-Employed,37,302003037,8,2017-07-30,2017-07-30,10000,11125,15,,0,Good
8a85881053bc33670153c7b62bef61ca,Savings,4.5755005999999998,8.4895776000000005,Diamond Bank,Self-Employed,31,301981830,12,2017-07-17,2017-07-17,30000,34500,30,,1,Good
8a85881053bc33670153c842d8990da3,Other,3.4062413,6.4466999999999999,GT Bank,Permanent,31,301969331,6,2017-07-08,2017-07-08,20000,24500,30,,1,Good
8a85881053bc33670153c9dc2e3a4393,Savings,3.3920414999999999,6.5083978,GT Bank,Permanent,37,301996417,10,2017-07-26,2017-07-26,40000,48000,60,,1,Good
8a85881053bc33670153cba1f98e6d19,Savings,3.3551617,6.6810583000000001,Access Bank,Permanent,37,301962251,7,2017-07-03,2017-07-03,30000,39000,60,,1,Good
8a85881053bc33670153cc5a32432a14,Other,3.9517083,7.390485,GT Bank,Permanent,42,301976453,14,2017-07-13,2017-07-13,30000,36000,60,,1,Good
8a85881a5420ebf101543805f5fb4a09,Other,4.0432012999999998,6.4329295000000002,GT Bank,Permanent,47,301992076,14,2017-07-23,2017-07-23,40000,44000,30,,1,Bad
8a8588235375c27f01537601102f108c,Other,3.3203711,6.5394736,Zenith Bank,Permanent,48,301982363,3,2017-07-17,2017-07-17,20000,22250,15,,0,Bad
8a8588235375c27f015376d27f982c9e,,,,,,,301998981,4,2017-07-27,2017-07-27,20000,24500,30,,0,Bad
8a8588235375c27f01537f6d1ad53cff,,,,,,,301963538,10,2017-07-04,2017-07-04,40000,44000,30,,0,Good
8a8588235375c27f01537f79100c40c3,Other,4.5602035000000001,7.7981312000000003,UBA,Permanent,33,301979641,6,2017-07-15,2017-07-15,10000,13000,30,,0,Good
8a8588235375c27f01538446e3214790,Other,3.6658453999999998,6.6632059999999997,Access Bank,Permanent,42,301994155,14,2017-07-24,2017-07-24,15000,16500,30,,0,Good
8a8588235384a58d01538abf515f2c2b,Current,3.2808763999999999,6.4497992999999996,UBA,Permanent,41,301974039,11,2017-07-12,2017-07-12,30000,34500,30,,0,Good
8a8588235384a58d01538b5b8d49372c,,,,,,,301992036,3,2017-07-23,2017-07-23,10000,13000,30,,1,Good
8a8588235384a58d01538faa46246121,Other,4.6184044999999996,8.4870216000000003,GT Bank,Permanent,30,301971279,9,2017-07-10,2017-07-10,40000,48000,60,,0,Bad
8a85882653bc51f50153c1b4a0127f64,,,,,,,301993603,3,2017-07-24,2017-07-24,10000,13000,30,,0,Good
8a85882653bc51f50153c7a562dc099d,,,,,,,301997227,3,2017-07-26,2017-07-26,10000,13000,30,,0,Good
8a85882653bc51f50153cb3de65e73d0,Other,4.5816276,8.4898480999999997,Diamond Bank,Permanent,40,301995815,12,2017-07-25,2017-07-25,30000,34500,30,,0,Good
8a85882653bc51f50153cc4e2899446b,Other,4.8757767000000003,6.7471937000000004,Zenith Bank,Self-Employed,38,301960882,7,2017-07-03,2017-07-03,20000,24500,30,,1,Good
8a85882653d0bb500153d632dca50043,Other,8.4940221999999999,12.033588999999999,EcoBank,Permanent,39,301958561,11,2017-07-01,2017-07-01,40000,48000,60,,0,Good
8a85882653e1a3e00153e1f8033b1233,,,,,,,301971439,7,2017-07-10,2017-07-10,40000,44000,30,,1,Good
8a85882653e2eb990153e6349161513e,Other,3.5223019,6.5828414000000004,FCMB,Permanent,41,301977281,7,2017-07-14,2017-07-14,30000,39000,60,,1,Good
8a85882653e2eb990153e7a9eda325a7,Other,6.7654345999999999,6.1125822999999997,Diamond Bank,Permanent,31,301996404,5,2017-07-26,2017-07-26,10000,11125,15,,1,Good
8a85882653e2eb990153e7b4c52d2815,Other,3.9102958000000001,7.4395924000000004,GT Bank,Self-Employed,38,301989274,13,2017-07-21,2017-07-21,40000,44000,30,,1,Good
8a85882653e2eb990153ec156fa2537f,Other,5.752097,5.5475838,Zenith Bank,Permanent,31,301965822,10,2017-07-06,2017-07-06,20000,24500,30,,0,Good
8a85882653e2eb990153f0f8a8520c4b,,,,,,,301986947,8,2017-07-20,2017-07-20,25000,27500,30,,1,Good
8a85882953bc04f80153bc198e5d0222,Savings,6.6970637999999996,7.7990101000000003,GT Bank,Permanent,47,301980605,2,2017-07-16,2017-07-16,10000,13000,30,,1,Bad
8a85882953bc04f80153c205b75d7403,Savings,3.3427680999999998,6.5094142000000002,GT Bank,Self-Employed,46,301990784,8,2017-07-22,2017-07-22,40000,48000,60,,1,Good
8a85882c546ba83501547619cd377b69,Savings,7.0362342,5.7945181999999997,FCMB,Self-Employed,39,301964093,12,2017-07-05,2017-07-04,40000,48000,60,,0,Good
8a85883353d0c4e90153dfca251168bc,Other,7.3592521,9.0401384,GT Bank,Self-Employed,33,301992301,9,2017-07-23,2017-07-23,30000,34500,30,,1,Bad
8a85883353e2e4e40153ea9a790f4934,Other,3.3217903999999998,6.5349975999999996,GT Bank,Permanent,40,301996335,10,2017-07-26,2017-07-26,30000,34500,30,,0,Good
8a85883353e2e4e40153f068a4634e02,,,,,,,301988385,15,2017-07-20,2017-07-20,50000,57500,90,,1,Good
8a85884e548fad6501549a053d8a74fd,Other,3.3784146000000002,6.6031884999999999,First Bank,Permanent,39,302000388,16,2017-07-28,2017-07-28,40000,44000,30,,1,Good
8a85884e548fad6501549a9435d71e85,,,,,,,301983510,3,2017-07-18,2017-07-18,20000,24500,30,,1,Good
8a85884e548fad6501549b2ac62a44c6,Savings,3.3258280999999998,6.4892897999999999,GT Bank,Permanent,34,301971707,5,2017-07-10,2017-07-10,30000,34500,30,,1,Good
8a85884e54a0565b0154b8e5e038630b,Other,6.9180393999999996,6.0190397000000004,Fidelity Bank,Permanent,36,301995141,4,2017-07-25,2017-07-25,20000,24500,30,,0,Good
8a85884e54a0565b0154ba3fa6c72e7e,Other,7.0123508000000001,4.7531198000000003,Sterling Bank,Permanent,45,301983552,3,2017-07-18,2017-07-18,10000,11500,15,,0,Good
